,Mom   
19310813,  -0.28
19310814,  -1.23
19310815,  -0.02
19310817,  -0.63
19310818,  -0.95
19310819,  -0.93
19310820,   0.59
19310821,   0.37
19310822,   0.34
19310824,   0.04
19310825,  -0.10
19310826,  -0.07
19310827,  -0.29
19310828,   0.28
19310829,  -0.37
19310831,   0.07
19310901,   0.48
19310902,   1.11
19310903,   0.12
19310904,   1.34
19310908,   0.32
19310909,   0.34
19310910,   0.18
19310911,  -0.49
19310912,   0.22
19310914,   1.01
19310915,   1.07
19310916,  -0.39
19310917,   0.44
19310918,   1.48
19310919,  -0.23
19310921,  -1.66
19310922,  -0.68
19310923,  -2.18
19310924,   2.10
19310925,  -0.58
19310926,   1.04
19310928,  -1.00
19310929,   0.84
19310930,  -1.02
19311001,  -0.20
19311002,   0.63
19311003,   2.63
19311005,   2.65
19311006,  -4.42
19311007,   0.62
19311008,  -1.53
19311009,  -3.55
19311010,   0.83
19311013,   1.26
19311014,   1.34
19311015,  -0.70
19311016,  -1.39
19311017,   0.12
19311019,   0.50
19311020,  -1.74
19311021,   1.39
19311022,   0.15
19311023,   0.32
19311024,   0.25
19311026,   0.80
19311027,   1.46
